$2 = {{type = TR_IRQ_ENTER, time = 3, data = 2048},
{type = TR_IRQ_EXIT, time = 204, data = 528},
{type = TR_IRQ_ENTER, time = 204, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 204, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 204, data = 0},
{type = TR_IRQ_EXIT, time = 204, data = 436},
{type = TR_IRQ_ENTER, time = 204, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 204, data = 0},
{type = TR_DOEPINT, time = 204, data = 1},
{type = TR_IRQ_EXIT, time = 204, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_CONTROL_SETUP, time = 207, data = 2147877376},
{type = TR_CONTROL_SETUP_DETAILS, time = 207, data = 255},
{type = TR_SET_NAK, time = 207, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 207, data = 10},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 786448},
{type = TR_IN_PACKET_SENT, time = 207, data = 0},
{type = TR_CONTROL_IN, time = 207, data = 3},
{type = TR_LAST_DATA_IN, time = 207, data = 0},
{type = TR_SET_NAK, time = 207, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 207, data = 0},
{type = TR_IRQ_EXIT, time = 207, data = 436},
{type = TR_IRQ_ENTER, time = 207, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_CONTROL_OUT, time = 207, data = 7},
{type = TR_STATUS_OUT, time = 207, data = 0},
{type = TR_DOEPINT_EPNUM, time = 207, data = 0},
{type = TR_DOEPINT, time = 207, data = 40968},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 207, data = 0},
{type = TR_IRQ_EXIT, time = 207, data = 436},
{type = TR_IRQ_ENTER, time = 207, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 207, data = 0},
{type = TR_DOEPINT, time = 207, data = 1},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_CONTROL_SETUP, time = 207, data = 2147877635},
{type = TR_CONTROL_SETUP_DETAILS, time = 207, data = 67698943},
{type = TR_SET_NAK, time = 207, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 207, data = 4},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 786448},
{type = TR_IN_PACKET_SENT, time = 207, data = 0},
{type = TR_CONTROL_IN, time = 207, data = 3},
{type = TR_LAST_DATA_IN, time = 207, data = 0},
{type = TR_SET_NAK, time = 207, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 207, data = 0},
{type = TR_IRQ_EXIT, time = 207, data = 436},
{type = TR_IRQ_ENTER, time = 207, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_CONTROL_OUT, time = 207, data = 7},
{type = TR_STATUS_OUT, time = 207, data = 0},
{type = TR_DOEPINT_EPNUM, time = 207, data = 0},
{type = TR_DOEPINT, time = 207, data = 40968},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 207, data = 0},
{type = TR_IRQ_EXIT, time = 207, data = 436},
{type = TR_IRQ_ENTER, time = 207, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 207, data = 0},
{type = TR_DOEPINT, time = 207, data = 1},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_CONTROL_SETUP, time = 207, data = 2147877632},
{type = TR_CONTROL_SETUP_DETAILS, time = 207, data = 255},
{type = TR_SET_NAK, time = 207, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 207, data = 26},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 786448},
{type = TR_IN_PACKET_SENT, time = 207, data = 0},
{type = TR_CONTROL_IN, time = 207, data = 3},
{type = TR_LAST_DATA_IN, time = 207, data = 0},
{type = TR_SET_NAK, time = 207, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 207, data = 0},
{type = TR_IRQ_EXIT, time = 207, data = 436},
{type = TR_IRQ_ENTER, time = 207, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_CONTROL_OUT, time = 207, data = 7},
{type = TR_STATUS_OUT, time = 207, data = 0},
{type = TR_DOEPINT_EPNUM, time = 207, data = 0},
{type = TR_DOEPINT, time = 207, data = 40968},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 207, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 207, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 207, data = 0},
{type = TR_IRQ_EXIT, time = 207, data = 436},
{type = TR_IRQ_ENTER, time = 207, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 207, data = 0},
{type = TR_DOEPINT, time = 207, data = 1},
{type = TR_IRQ_EXIT, time = 207, data = 528},
{type = TR_IRQ_ENTER, time = 211, data = 16},
