$1 = {{type = TR_IRQ_ENTER, time = 3, data = 2048},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_CONTROL_SETUP, time = 208, data = 255},
{type = TR_SET_NAK, time = 208, data = 1},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 786448},
{type = TR_IN_PACKET_SENT, time = 208, data = 0},
{type = TR_CONTROL_IN, time = 208, data = 3},
{type = TR_LAST_DATA_IN, time = 208, data = 0},
{type = TR_SET_NAK, time = 208, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 208, data = 0},
{type = TR_IRQ_EXIT, time = 208, data = 436},
{type = TR_IRQ_ENTER, time = 208, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_CONTROL_OUT, time = 208, data = 7},
{type = TR_STATUS_OUT, time = 208, data = 0},
{type = TR_DOEPINT_EPNUM, time = 208, data = 0},
{type = TR_DOEPINT, time = 208, data = 40968},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 208, data = 0},
{type = TR_IRQ_EXIT, time = 208, data = 436},
{type = TR_IRQ_ENTER, time = 208, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 208, data = 0},
{type = TR_DOEPINT, time = 208, data = 1},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_CONTROL_SETUP, time = 208, data = 255},
{type = TR_SET_NAK, time = 208, data = 1},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 786448},
{type = TR_IN_PACKET_SENT, time = 208, data = 0},
{type = TR_CONTROL_IN, time = 208, data = 3},
{type = TR_LAST_DATA_IN, time = 208, data = 0},
{type = TR_SET_NAK, time = 208, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 208, data = 0},
{type = TR_IRQ_EXIT, time = 208, data = 436},
{type = TR_IRQ_ENTER, time = 208, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_CONTROL_OUT, time = 208, data = 7},
{type = TR_STATUS_OUT, time = 208, data = 0},
{type = TR_DOEPINT_EPNUM, time = 208, data = 0},
{type = TR_DOEPINT, time = 208, data = 40968},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 208, data = 0},
{type = TR_IRQ_EXIT, time = 208, data = 436},
{type = TR_IRQ_ENTER, time = 208, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 208, data = 0},
{type = TR_DOEPINT, time = 208, data = 1},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_CONTROL_SETUP, time = 208, data = 255},
{type = TR_SET_NAK, time = 208, data = 1},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 786448},
{type = TR_IN_PACKET_SENT, time = 208, data = 0},
{type = TR_CONTROL_IN, time = 208, data = 3},
{type = TR_LAST_DATA_IN, time = 208, data = 0},
{type = TR_SET_NAK, time = 208, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 208, data = 0},
{type = TR_IRQ_EXIT, time = 208, data = 436},
{type = TR_IRQ_ENTER, time = 208, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_CONTROL_OUT, time = 208, data = 7},
{type = TR_STATUS_OUT, time = 208, data = 0},
{type = TR_DOEPINT_EPNUM, time = 208, data = 0},
{type = TR_DOEPINT, time = 208, data = 40968},
{type = TR_IRQ_EXIT, time = 208, data = 528},
{type = TR_IRQ_ENTER, time = 208, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 208, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 209, data = 0},
{type = TR_IRQ_EXIT, time = 209, data = 436},
{type = TR_IRQ_ENTER, time = 209, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 209, data = 0},
{type = TR_DOEPINT, time = 209, data = 1},
{type = TR_IRQ_EXIT, time = 209, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_CONTROL_SETUP, time = 213, data = 255},
{type = TR_SET_NAK, time = 213, data = 1},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 786448},
{type = TR_IN_PACKET_SENT, time = 213, data = 0},
{type = TR_CONTROL_IN, time = 213, data = 3},
{type = TR_LAST_DATA_IN, time = 213, data = 0},
{type = TR_SET_NAK, time = 213, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 436},
{type = TR_IRQ_ENTER, time = 213, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_CONTROL_OUT, time = 213, data = 7},
{type = TR_STATUS_OUT, time = 213, data = 0},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 40968},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 436},
{type = TR_IRQ_ENTER, time = 213, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 1},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_CONTROL_SETUP, time = 213, data = 18},
{type = TR_SET_NAK, time = 213, data = 1},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 786448},
{type = TR_IN_PACKET_SENT, time = 213, data = 0},
{type = TR_CONTROL_IN, time = 213, data = 3},
{type = TR_LAST_DATA_IN, time = 213, data = 0},
{type = TR_SET_NAK, time = 213, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 436},
{type = TR_IRQ_ENTER, time = 213, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_CONTROL_OUT, time = 213, data = 7},
{type = TR_STATUS_OUT, time = 213, data = 0},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 40968},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 436},
{type = TR_IRQ_ENTER, time = 213, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 1},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_CONTROL_SETUP, time = 213, data = 9},
{type = TR_SET_NAK, time = 213, data = 1},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 262160},
{type = TR_IN_PACKET_SENT, time = 213, data = 0},
{type = TR_CONTROL_IN, time = 213, data = 2},
{type = TR_DATA_IN, time = 213, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 436},
{type = TR_IRQ_ENTER, time = 213, data = 786432},
{type = TR_IN_PACKET_SENT, time = 213, data = 0},
{type = TR_CONTROL_IN, time = 213, data = 3},
{type = TR_LAST_DATA_IN, time = 213, data = 0},
{type = TR_SET_NAK, time = 213, data = 0},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 40984},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_CONTROL_OUT, time = 213, data = 7},
{type = TR_STATUS_OUT, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 436},
{type = TR_IRQ_ENTER, time = 213, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 1},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_CONTROL_SETUP, time = 213, data = 67},
{type = TR_SET_NAK, time = 213, data = 1},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 262160},
{type = TR_IN_PACKET_SENT, time = 213, data = 0},
{type = TR_CONTROL_IN, time = 213, data = 2},
{type = TR_DATA_IN, time = 213, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 213, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 213, data = 0},
{type = TR_IRQ_EXIT, time = 213, data = 436},
{type = TR_IRQ_ENTER, time = 213, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 40984},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 8192},
{type = TR_IRQ_EXIT, time = 213, data = 528},
{type = TR_IRQ_ENTER, time = 213, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 213, data = 0},
{type = TR_DOEPINT, time = 213, data = 8192},
